county,population,asthma,smoking
Kusilvak AK,8303,16.1,45.7
Oglala Lakota SD,14309,15,41.8
Todd SD,10283,14.8,40.9
Buffalo SD,2036,14.1,38.2
Sioux ND,4358,14.2,36.6
Bethel AK,18216,14.6,35.8
Northwest Arctic AK,7671,13.5,34.9
Nome AK,10008,13.1,34.8
Corson SD,4165,13.1,34.2
Ziebach SD,2742,13.1,33.7
Clay KY,20105,12.6,33.6
East Carroll LA,7037,12.2,33.6
Glacier MT,13747,13.2,33.4
McCreary KY,17408,12.1,33.2
Rolette ND,14301,13.6,32.9
McDowell WV,18223,13.1,32.7
Mingo WV,23785,12.4,32.6
Menominee WI,4658,13.2,32.5
Wolfe KY,7177,12.8,32.2
Yukon-Koyukuk AK,5327,13.1,32.1
Dewey SD,5904,13,31.8
Mellette SD,2042,12.5,31.7
Bell KY,26569,12.8,31.5
Lee KY,7033,12.4,31.3
Benson ND,6962,12.3,31.3
Harlan KY,26409,12.7,31.2
Adair OK,22082,13.4,31.1
Roosevelt MT,11059,12.9,31.1
Bennett SD,3468,12.5,31
Dillingham AK,5000,13.1,30.7
Breathitt KY,12726,12.5,30.7
Lake TN,7411,10.9,30.7
Vinton OH,13139,10.7,30.2
Madison LA,11161,11.7,30.1
Lake and Peninsula AK,1587,12.6,30
Jackson SD,3307,12.6,29.9
Owsley KY,4472,11.9,29.9
Issaquena MS,1308,11.6,29.9
Morgan TN,21579,11,29.9
Estill KY,14198,11.9,29.8
Clay WV,8632,12.2,29.7
Knox KY,31304,12.3,29.5
Lawrence KY,15571,12,29.5
Tensas LA,4462,11.7,29.5
Lincoln WV,20599,12.2,29.4
Leslie KY,10143,12.1,29.4
Elliott KY,7508,11.3,29.4
Scott TN,22039,11.3,29.4
Magoffin KY,12362,12.1,29.3
Jackson KY,13442,11.9,29.3
Union FL,14940,9.4,29.3
Wilkinson MS,8792,11.8,29.2
Morgan KY,13345,11.5,29.2
Martin KY,11323,11.3,29.2
Robeson NC,131831,12.8,29.1
Hancock TN,6549,11.4,29.1
Adams OH,27724,10.8,29.1
Letcher KY,21899,12.2,29
Lauderdale TN,25825,11.7,29
Union TN,19688,11.3,29
Lewis KY,13257,11.8,28.9
Hardeman TN,25220,11.6,28.9
Perry TN,8064,11.5,28.9
Cocke TN,35774,11.5,28.9
Grundy TN,13346,11.5,28.9
Evangeline LA,33443,10.7,28.9
Dixie FL,16700,9.8,28.9
Webster WV,8285,12.1,28.8
Perry KY,26092,11.8,28.6
Big Horn MT,13338,12.9,28.5
Clinton KY,10206,12,28.5
Roane WV,13932,12,28.5
Mississippi MO,13336,11.3,28.5
Macon TN,24265,11.2,28.4
LaGrange IN,39330,11.1,28.4
Wayne MO,13122,11,28.4
Fentress TN,18217,11.3,28.3
Van Buren TN,5765,11.2,28.3
Scioto OH,75502,10.8,28.3
Logan WV,32607,12.2,28.2
Pike KY,58402,11.8,28.2
Washington FL,24880,10,28.2
Nicholas KY,7166,11.8,28.1
Clay TN,7717,11.3,28.1
Holmes OH,43892,10.9,28.1
Holmes MS,17622,12.8,28
Mahnomen MN,5519,11.4,28
Dunklin MO,29423,11.3,28
Jefferson MS,7106,12.5,27.9
Floyd KY,35845,12.3,27.9
Bledsoe TN,14755,10.7,27.9
Humphreys MS,8257,12.6,27.8
Knott KY,15126,12.2,27.8
Wyoming WV,20786,12,27.8
Okfuskee OK,12098,11.9,27.8
Campbell TN,39583,11.3,27.8
Tallahatchie MS,13987,11.1,27.8
Johnson TN,17778,10.8,27.8
Bath KY,12383,11.5,27.7
Benton TN,16184,11.2,27.7
Lee AR,8985,11.1,27.7
Wayne TN,16558,10.5,27.6
Wirt WV,5830,11.8,27.5
Metcalfe KY,10030,11.8,27.5
Braxton WV,14089,11.6,27.5
Warren TN,40878,11.2,27.5
Overton TN,22068,10.9,27.5
Washington MO,24943,10.8,27.5
Buchanan VA,21221,10.7,27.5
Washington LA,46582,10.5,27.5
Trousdale TN,11012,10.3,27.5
Caldwell LA,9960,10.1,27.5
Grayson KY,26321,11.5,27.4
Fayette WV,43018,11.3,27.4
McNairy TN,25832,11.1,27.4
Concordia LA,19572,10.7,27.4
Avoyelles LA,40462,10.4,27.4
Perry OH,36033,10.2,27.4
McKinley NM,72290,14.6,27.3
Quitman MS,7051,12.7,27.3
Wayne WV,39944,12.3,27.3
Fulton KY,6120,12.3,27.3
Sequoyah OK,41179,12.2,27.3
Pemiscot MO,16272,11.8,27.3
Hart KY,18906,11.7,27.3
Clinch GA,6648,11.6,27.3
Ripley MO,13401,11,27.3
Casey KY,15888,11.8,27.2
Jackson AR,16811,11,27.2
Jackson TN,11758,11,27.2
Holmes FL,19477,10.2,27.2
New Madrid MO,17296,11.2,27.1
Henderson TN,27847,11.2,27.1
Houston TN,8263,11.1,27.1
Crawford IN,10558,11,27.1
St. Francis AR,25439,10.8,27.1
Claiborne LA,15944,10.4,27.1
Boone WV,21951,11.9,27
Wright MO,18378,10.9,27
Calhoun GA,6352,10.9,27
McDonald MO,23078,10.7,27
St. Landry LA,82764,10.6,27
Liberty FL,8457,9.1,27
Choctaw OK,14668,12.1,26.9
Lincoln KY,24644,11.6,26.9
Montgomery KY,28203,11.4,26.9
Fleming KY,14432,11.4,26.9
Carroll KY,10737,11.3,26.9
Grainger TN,23145,11,26.9
Shannon MO,8189,10.8,26.9
Meigs OH,23106,10.6,26.9
Calhoun WV,7254,11.7,26.8
Monroe KY,10718,11.5,26.8
